AZIENDA;SEDE;INDIRIZZO;WEB;MAIL;Fatturato 
Advan Srl;Amaro;Via Jacopo Linussio, 1;www.advanimplantology.com ;info@advanimplantology.com ;
CleveryNext Srl;Amaro;Via Jacopo Linussio, 1;www.cleverynext.com;administration@cleverlynext.it;
Marmax Srl;Amaro;Via Jacopo Linussio, 1;www.marmaxdesign.com;info@marmaxdesign.com;
Novalegno Srl;Amaro;Via Cooperativa Carnica, 6;www.novalegno.it;info@novalegno.it;
Plan 1 Health Srl;Amaro;Via Fratelli Solari, 5;www.p1h.it;info@p1h.it;
Prodigy Technology Srl;Amaro;Via Jacopo Linussio, 1;www.prodigys.it;info@prodigysgroup.it;
TDP Srl;Amaro;Via Fratelli Solari, 1/B;www.tdpsrl.it;info@tdpsrl.it;
Valle Costruzioni Srl;Amaro;via Valli di Carnia, 7D;www.vallecostruzioni.it;info@vallecostruzioni.it;
MDP Srl;Artegna;Via Buja, 13;www.mdpsrl.com;info@mdpsrl.com;3.507.000 €
Technocare Electronic System Srl;Attimis;Via Ortolani, 27;www.technocare-tes.eu;;
Falk Srl;Azzano X;via Peperate, 21;www.falksrl.it;info@falksrl.it;
TG Srl;Azzano X;Via Villata, 19;www.tgsrl.com;info@tgsrl.com;
Foody Srl;Basiliano;Via Gian Giacomo Marinoni, 37;www.foody-srl.com/;info@foody-srl.com;
Dall'Agnese Srl;Brugnera;Via Giuseppe Mazzini, 3;www.dallagnese.it;info@dall'agnese.it;
Emanuele Mariotto Srl;Brugnera;Via Calderano, 9/b;www.emanuelemariotto.it;info@emanuelemariotto.it;
Erreci Srl;Brugnera;Viale Europa, 13;www.errecisrl.it;info@errecisrl.it;
Etra Srl;Brugnera;Via Antonio Carpene, 25;www.etrametal.it;info@etrmetal.it;
Gammaplast Srl;Brugnera;Viale Europa, 12;www.gammaplast-italia.com;info@gammaplast-italia.com;
Giuntati Srl;Brugnera;Via G. Mazzini, 22d;www.giuntati2000.it;segreteria@giuntati2000.it;
Group Legno srl;Brugnera;Viale Europa, 24/b;www.grouplegno.it;info@grouplegno.it;
Ideal Bagni Srl;Brugnera;Via Antonio Carpene, 10;www.idealbagni.com;info@idealbagni.com;
Innolac Srl;Brugnera;Via Lino Zanussi, 18;www.innolac.it;;
Kios Arredamenti Srl;Brugnera;Viale L. Zanussi, 30;www.kios.com;info@kios.it;
Krea Srl;Brugnera;Viale L. Zanussi, 11;www.kreasrl.com;kreasantarossa@alice.it;
Loetrà Srl;Brugnera;Viale Europa, 13;www.loetra.com;info@loetra.com;
Modul-Pan Srl;Brugnera;Via Taglio, 9;www.modul-pan.it;info@modul-pan.it;
P.R.E.M. Line Srl;Brugnera;Via Pordenone, 47;www.premline.it;info@premline.it;
Pivetta Plast Srl;Brugnera;Viale Europa, 24/a;www.pivettaplast.com;info@pivettaplast.com;
Rigosalotti Srl;Brugnera;Via Ponte di Sotto, 31/a;www.rigosalotti.it;info@rigosalotti.it;
Sittex Srl;Brugnera;Viale Europa, 26;www.sittex.it;sales@sittex.it;
Union Srl;Brugnera;Viale Europa, 12/a;www.union-srl.com;info@union-srl.com;
Valenext Srl;Brugnera;Via Carpenè, 23 fraz. Maron;www.valenitalia.it;export@valenitalia.it;
Valenitalia Srl;Brugnera;Via Antonio Carpene, 23;www.valenitalia.it;amministrazione@valenitalia.it;
Verbo Srl;Brugnera;Via Taglio, 87;www.verbosrl.com;info@verbosrl.com;
Vetreria Giacon Luigi Srl;Brugnera;Via Antonio Carpene, 19;www.vetreriagiacon.it;info@vetreriagiacon.it;
Cime Srl;Buja;Via vilsbiburg, 4;www.cimeimpianti.it;info@cimeimpianti.it;2.484.000 €
D E G Group Srl;Buja;via Polvaries, 23;www.degautomazioni.it;service@degautomazioni.it;3.427.000 €
Maschio Srl;Buja;via provinciale Osovana, 74;www.ceramichemaschio.com;info@ceramichemaschio.com;3.750.000 €
Pielle SRL;Buja;Via Polvaries, 60;www.impiantipielle.it;info@impiantipielle.it;
Tonello Spa;Buttrio;Via D'Orment. 6;https://www.tonellospa.it/;info@tonellospa.it;
Lestro Sl;Caneva;Via San Pietro, 56;www.lestro.it;;
Sitalia Snc;Castelnuovo del Friuli;Via Celante, 38;www.sitalia.it;sitalia@sitalia.it;
Maral Srl;Castions di Strada;Via A. Malignani, 1;www-maralgroup.it;info@maralgroup.eu;
Officine Forgiarini Srl;Castions di Strada;Via Aquileia, 8;www.officine-forgiarini.it;info@forgiarini.it;
SAIV Srl;Chiopris Viscone;Via Faidutti, 6;www.segheriasaiv.it;info@segheriasaiv.it;
Livoni Edoardo & Figlio Srl;Corno di Rosazzo;via Papa Giovanni, 8;www.livoni.it;info@livoni.it;
Turello Srl;Coseano;Via dell'Industria, 7;www.turello.net;turello@turello.net;
Friul Pallet Srl;Faedis;;www.friulpallet.com;;
Arti Grafiche Lizzi Srl;Fagagna;Via G.A.M. Rollet, 15;www.grafichelizzi.it;arti@grafichelizzi.it;8.688.000 €
Piemme Srl;Fagagna;Via Spilimbergo, 184/a;www.piemme-srl.com;commerciale@piemmesrl.com;7.090.000 €
Metal Srl;Fiume Veneto;Via Fratelli Zambon, 7/9;www.metalsrl.com;;
